kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_brockii,Thermoanaerobacter_brockii_finnii_Ako_1_uid55639,2134,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_italicus,Thermoanaerobacter_italicus_Ab9_uid46241,291,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterium,Thermoanaerobacterium_thermosaccharolyticum,Thermoanaerobacterium_thermosaccharolyticum_DSM_571_uid51639,2135,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterium,Thermoanaerobacterium_xylanolyticum,Thermoanaerobacterium_xylanolyticum_LX_11_uid63163,2136,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_mathranii,Thermoanaerobacter_mathranii_A3_uid49481,2137,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_pseudethanolicus,Thermoanaerobacter_pseudethanolicus_ATCC_33223_uid58339,2138,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_tengcongensis,Thermoanaerobacter_tengcongensis_MB4_uid57813,293,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_wiegelii,Thermoanaerobacter_wiegelii_Rt8_B1_uid52581,2139,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_X513,Thermoanaerobacter_X513_uid53065,295,Clostridia,Thermoanaerobacterales
Bacteria,Firmicutes,Clostridia,Thermoanaerobacter,Thermoanaerobacter_X514,Thermoanaerobacter_X514_uid58589,2141,Clostridia,Thermoanaerobacterales
Bacteria,-,-,Thermobaculum,Thermobaculum_terrenum,Thermobaculum_terrenum_ATCC_BAA_798_uid42011,2142,-,-
Bacteria,Actinobacteria,Actinobacteria,Thermobifida,Thermobifida_fusca,Thermobifida_fusca_YX_uid57703,2143,Actinobacteria,Actinomycetales
Bacteria,Actinobacteria,Actinobacteria,Thermobispora,Thermobispora_bispora,Thermobispora_bispora_DSM_43833_uid48999,2144,Actinobacteria,Actinomycetales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_4557,Thermococcus_4557_uid70841,2145,Euryarchaeota,Thermococcales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_AM4,Thermococcus_AM4_uid54735,1028,Euryarchaeota,Thermococcales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_barophilus,Thermococcus_barophilus_MP_uid54733,2930,Euryarchaeota,Thermococcales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_gammatolerans,Thermococcus_gammatolerans_EJ3_uid59389,2932,Euryarchaeota,Thermococcales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_kodakarensis,Thermococcus_kodakarensis_KOD1_uid58225,2933,Euryarchaeota,Thermococcales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_onnurineus,Thermococcus_onnurineus_NA1_uid59043,2934,Euryarchaeota,Thermococcales
Archaea,Euryarchaeota,Thermococci,Thermococcus,Thermococcus_sibiricus,Thermococcus_sibiricus_MM_739_uid59399,2935,Euryarchaeota,Thermococcales
Bacteria,Aquificae,Aquificae,Thermocrinis,Thermocrinis_albus,Thermocrinis_albus_DSM_14484_uid46231,2936,Aquificae,Aquificales
Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfatator,Thermodesulfatator_indicus,Thermodesulfatator_indicus_DSM_15286_uid68285,1029,Thermodesulfobacteria,Thermodesulfobacteriales
